x; y; z; voidRatio; porePressure;
   23.789;     2.789;     0.000; 0.2999650;    463635.65;
   23.211;     2.211;     0.000; 0.2999598;    469247.67;
   23.211;     2.789;     0.000; 0.2999653;    463628.46;
   23.789;     3.211;     0.000; 0.2999683;    459511.91;
   23.789;     3.789;     0.000; 0.2999720;    453864.28;
   23.211;     3.211;     0.000; 0.2999686;    459504.45;
   23.211;     3.789;     0.000; 0.2999722;    453856.66;
   23.789;     4.211;     0.000; 0.2999743;    449723.54;
   23.789;     4.789;     0.000; 0.2999768;    444058.47;
   23.211;     4.211;     0.000; 0.2999744;    449715.89;
   23.211;     4.789;     0.000; 0.2999769;    444050.90;
   23.789;     5.211;     0.000; 0.2999784;    439907.98;
   23.789;     5.789;     0.000; 0.2999801;    434233.70;
   23.211;     5.211;     0.000; 0.2999784;    439900.51;
   23.211;     5.789;     0.000; 0.2999802;    434226.42;
   23.789;     6.211;     0.000; 0.2999813;    430078.71;
   23.789;     6.789;     0.000; 0.2999826;    424401.37;
   23.211;     6.211;     0.000; 0.2999813;    430071.57;
   23.211;     6.789;     0.000; 0.2999826;    424394.41;
   23.789;     7.211;     0.000; 0.2999836;    420246.03;
   23.789;     7.789;     0.000; 0.2999848;    414570.79;
   23.211;     7.211;     0.000; 0.2999835;    420239.16;
   23.211;     7.789;     0.000; 0.2999848;    414563.99;
   23.789;     8.211;     0.000; 0.2999857;    410418.97;
   23.789;     8.789;     0.000; 0.2999871;    404751.24;
   23.211;     8.211;     0.000; 0.2999857;    410412.12;
   23.211;     8.789;     0.000; 0.2999871;    404744.19;
   23.789;     9.211;     0.000; 0.2999883;    400607.54;
   23.789;     9.789;     0.000; 0.2999903;    394954.46;
   23.211;     9.211;     0.000; 0.2999882;    400600.15;
   23.211;     9.789;     0.000; 0.2999901;    394946.37;
   23.789;    10.211;     0.000; 0.2999921;    390825.52;
   23.789;    10.789;     0.000; 0.2999951;    385198.10;
   23.211;    10.211;     0.000; 0.2999919;    390816.56;
   23.211;    10.789;     0.000; 0.2999948;    385187.49;
   23.789;    11.211;     0.000; 0.2999980;    381094.55;
   23.789;    11.789;     0.000; 0.3000030;    375510.87;
   23.211;    11.211;     0.000; 0.2999976;    381082.11;
   23.211;    11.789;     0.000; 0.3000025;    375495.06;
   23.789;    12.211;     0.000; 0.3000080;    371450.43;
   23.789;    12.789;     0.000; 0.3000164;    365940.78;
   23.211;    12.211;     0.000; 0.3000072;    371430.98;
   23.211;    12.789;     0.000; 0.3000153;    365914.78;
   23.789;    13.211;     0.000; 0.3000248;    361953.10;
   23.789;    13.789;     0.000; 0.3000391;    356568.20;
   23.211;    13.211;     0.000; 0.3000233;    361920.15;
   23.211;    13.789;     0.000; 0.3000371;    356522.81;
   23.789;    14.211;     0.000; 0.3000533;    352702.69;
   23.789;    14.789;     0.000; 0.3000776;    347526.82;
   23.211;    14.211;     0.000; 0.3000506;    352644.21;
   23.211;    14.789;     0.000; 0.3000739;    347445.00;
   23.789;    15.211;     0.000; 0.3001017;    343865.10;
   23.789;    15.789;     0.000; 0.3001427;    339036.97;
   23.211;    15.211;     0.000; 0.3000966;    343758.76;
   23.211;    15.789;     0.000; 0.3001357;    338886.98;
   23.789;    16.211;     0.000; 0.3001830;    335712.61;
   23.789;    16.789;     0.000; 0.3002516;    331458.43;
   23.211;    16.211;     0.000; 0.3001735;    335516.72;
   23.211;    16.789;     0.000; 0.3002386;    331180.75;
   23.789;    17.211;     0.000; 0.3003188;    328688.26;
   23.789;    17.789;     0.000; 0.3004325;    325374.16;
   23.211;    17.211;     0.000; 0.3003010;    328324.13;
   23.211;    17.789;     0.000; 0.3004081;    324855.66;
   23.789;    18.211;     0.000; 0.3005437;    323508.09;
   23.789;    18.789;     0.000; 0.3007311;    321723.97;
   23.211;    18.211;     0.000; 0.3005102;    322824.91;
   23.211;    18.789;     0.000; 0.3006848;    320745.29;
   23.789;    19.211;     0.000; 0.3009136;    321326.18;
   23.789;    19.789;     0.000; 0.3012202;    322023.52;
   23.211;    19.211;     0.000; 0.3008498;    320027.08;
   23.211;    19.789;     0.000; 0.3011316;    320144.52;
   23.789;    20.211;     0.000; 0.3015204;    324007.91;
   23.789;    20.789;     0.000; 0.3020195;    328732.04;
   23.211;    20.211;     0.000; 0.3013954;    321485.54;
   23.211;    20.789;     0.000; 0.3018438;    325031.82;
   23.789;    21.211;     0.000; 0.3025084;    334615.82;
   23.789;    21.789;     0.000; 0.3033283;    345966.48;
   23.211;    21.211;     0.000; 0.3022593;    329529.61;
   23.211;    21.789;     0.000; 0.3029659;    338271.54;
   23.789;    22.211;     0.000; 0.3041531;    358184.17;
   23.789;    22.789;     0.000; 0.3054453;    380212.86;
   23.211;    22.211;     0.000; 0.3036120;    347451.99;
   23.211;    22.789;     0.000; 0.3046504;    363791.49;
   23.789;    23.211;     0.000; 0.3068737;    404456.87;
   23.789;    23.789;     0.000; 0.3093685;    448664.06;
   23.211;    23.211;     0.000; 0.3055855;    377544.00;
   23.211;    23.789;     0.000; 0.3068745;    398777.05;
   23.789;    24.211;     0.000; 0.3102854;    467688.28;
   23.789;    24.789;     0.000; 0.3111872;    475456.26;
   23.211;    24.211;     0.000; 0.3074613;    408261.38;
   23.211;    24.789;     0.000; 0.3080781;    412940.00;
   22.789;     0.211;     0.000; 0.2999287;    488483.12;
   22.789;     0.789;     0.000; 0.2999403;    482972.92;
   22.211;     0.211;     0.000; 0.2999302;    488481.69;
   22.211;     0.789;     0.000; 0.2999415;    482967.57;
   22.789;     1.211;     0.000; 0.2999475;    478915.12;
   22.789;     1.789;     0.000; 0.2999554;    473339.21;
   22.211;     1.211;     0.000; 0.2999484;    478907.56;
   22.211;     1.789;     0.000; 0.2999561;    473329.52;
   22.789;     2.211;     0.000; 0.2999602;    469241.30;
   22.789;     2.789;     0.000; 0.2999655;    463621.51;
   22.211;     2.211;     0.000; 0.2999608;    469230.48;
   22.211;     2.789;     0.000; 0.2999660;    463609.73;
   22.789;     3.211;     0.000; 0.2999688;    459497.24;
   22.789;     3.789;     0.000; 0.2999724;    453849.30;
   22.211;     3.211;     0.000; 0.2999692;    459485.00;
   22.211;     3.789;     0.000; 0.2999727;    453836.80;
   22.789;     4.211;     0.000; 0.2999746;    449708.50;
   22.789;     4.789;     0.000; 0.2999770;    444043.59;
   22.211;     4.211;     0.000; 0.2999748;    449695.96;
   22.211;     4.789;     0.000; 0.2999772;    444031.19;
   22.789;     5.211;     0.000; 0.2999785;    439893.30;
   22.789;     5.789;     0.000; 0.2999802;    434219.39;
   22.211;     5.211;     0.000; 0.2999787;    439881.06;
   22.211;     5.789;     0.000; 0.2999803;    434207.47;
   22.789;     6.211;     0.000; 0.2999813;    430064.68;
   22.789;     6.789;     0.000; 0.2999826;    424387.70;
   22.211;     6.211;     0.000; 0.2999814;    430052.99;
   22.211;     6.789;     0.000; 0.2999827;    424376.32;
   22.789;     7.211;     0.000; 0.2999836;    420232.55;
   22.789;     7.789;     0.000; 0.2999847;    414557.44;
   22.211;     7.211;     0.000; 0.2999836;    420221.33;
   22.211;     7.789;     0.000; 0.2999847;    414546.36;
   22.789;     8.211;     0.000; 0.2999857;    410405.54;
   22.789;     8.789;     0.000; 0.2999870;    404737.43;
   22.211;     8.211;     0.000; 0.2999856;    410394.40;
   22.211;     8.789;     0.000; 0.2999869;    404726.01;
   22.789;     9.211;     0.000; 0.2999881;    400593.09;
   22.789;     9.789;     0.000; 0.2999900;    394938.66;
   22.211;     9.211;     0.000; 0.2999880;    400581.19;
   22.211;     9.789;     0.000; 0.2999897;    394925.70;
   22.789;    10.211;     0.000; 0.2999917;    390808.06;
   22.789;    10.789;     0.000; 0.2999945;    385177.48;
   22.211;    10.211;     0.000; 0.2999913;    390793.80;
   22.211;    10.789;     0.000; 0.2999940;    385160.74;
   22.789;    11.211;     0.000; 0.2999973;    381070.41;
   22.789;    11.789;     0.000; 0.3000019;    375480.26;
   22.211;    11.211;     0.000; 0.2999966;    381050.89;
   22.211;    11.789;     0.000; 0.3000010;    375455.65;
   22.789;    12.211;     0.000; 0.3000065;    371412.85;
   22.789;    12.789;     0.000; 0.3000143;    365890.65;
   22.211;    12.211;     0.000; 0.3000053;    371382.78;
   22.211;    12.789;     0.000; 0.3000127;    365850.72;
   22.789;    13.211;     0.000; 0.3000220;    361889.67;
   22.789;    13.789;     0.000; 0.3000352;    356481.00;
   22.211;    13.211;     0.000; 0.3000198;    361839.35;
   22.211;    13.789;     0.000; 0.3000322;    356412.14;
   22.789;    14.211;     0.000; 0.3000482;    352590.50;
   22.789;    14.789;     0.000; 0.3000703;    347370.14;
   22.211;    14.211;     0.000; 0.3000441;    352502.24;
   22.211;    14.789;     0.000; 0.3000647;    347247.43;
   22.789;    15.211;     0.000; 0.3000922;    343661.79;
   22.789;    15.789;     0.000; 0.3001291;    338750.76;
   22.211;    15.211;     0.000; 0.3000846;    343503.20;
   22.211;    15.789;     0.000; 0.3001187;    338528.57;
   22.789;    16.211;     0.000; 0.3001653;    335339.48;
   22.789;    16.789;     0.000; 0.3002263;    330930.71;
   22.211;    16.211;     0.000; 0.3001514;    335051.15;
   22.211;    16.789;     0.000; 0.3002072;    330525.25;
   22.789;    17.211;     0.000; 0.3002857;    327997.81;
   22.789;    17.789;     0.000; 0.3003854;    324393.75;
   22.211;    17.211;     0.000; 0.3002601;    327470.41;
   22.211;    17.789;     0.000; 0.3003501;    323650.31;
   22.789;    18.211;     0.000; 0.3004817;    322220.10;
   22.789;    18.789;     0.000; 0.3006424;    319885.62;
   22.211;    18.211;     0.000; 0.3004346;    321250.88;
   22.211;    18.789;     0.000; 0.3005772;    318515.63;
   22.789;    19.211;     0.000; 0.3007965;    318895.86;
   22.789;    19.789;     0.000; 0.3010520;    318526.26;
   22.211;    19.211;     0.000; 0.3007092;    317104.39;
   22.211;    19.789;     0.000; 0.3009299;    315984.07;
   22.789;    20.211;     0.000; 0.3012931;    319339.28;
   22.789;    20.789;     0.000; 0.3016916;    321930.10;
   22.211;    20.211;     0.000; 0.3011313;    315997.98;
   22.211;    20.789;     0.000; 0.3014625;    317156.28;
   22.789;    21.211;     0.000; 0.3020632;    325362.25;
   22.789;    21.789;     0.000; 0.3026652;    332148.21;
   22.211;    21.211;     0.000; 0.3017563;    319062.99;
   22.211;    21.789;     0.000; 0.3022246;    323113.90;
   22.789;    22.211;     0.000; 0.3031897;    339084.71;
   22.789;    22.789;     0.000; 0.3041002;    351249.61;
   22.211;    22.211;     0.000; 0.3026183;    326957.08;
   22.211;    22.789;     0.000; 0.3031902;    333405.94;
   22.789;    23.211;     0.000; 0.3046508;    359634.00;
   22.789;    23.789;     0.000; 0.3054464;    370375.67;
   22.211;    23.211;     0.000; 0.3036129;    337615.84;
   22.211;    23.789;     0.000; 0.3041546;    342668.67;
   22.789;    24.211;     0.000; 0.3060012;    375151.52;
   22.789;    24.789;     0.000; 0.3062552;    377457.69;
   22.211;    24.211;     0.000; 0.3043918;    344120.59;
   22.211;    24.789;     0.000; 0.3046223;    343034.48;
   21.789;     0.211;     0.000; 0.2999315;    488480.45;
   21.789;     0.789;     0.000; 0.2999425;    482962.95;
   21.211;     0.211;     0.000; 0.2999335;    488478.50;
   21.211;     0.789;     0.000; 0.2999441;    482955.66;
   21.789;     1.211;     0.000; 0.2999493;    478901.02;
   21.789;     1.789;     0.000; 0.2999568;    473321.15;
   21.211;     1.211;     0.000; 0.2999506;    478890.72;
   21.211;     1.789;     0.000; 0.2999578;    473307.94;
   21.789;     2.211;     0.000; 0.2999614;    469221.12;
   21.789;     2.789;     0.000; 0.2999664;    463599.52;
   21.211;     2.211;     0.000; 0.2999622;    469206.37;
   21.211;     2.789;     0.000; 0.2999671;    463583.44;
   21.789;     3.211;     0.000; 0.2999695;    459474.41;
   21.789;     3.789;     0.000; 0.2999729;    453825.98;
   21.211;     3.211;     0.000; 0.2999700;    459457.70;
   21.211;     3.789;     0.000; 0.2999733;    453808.91;
   21.789;     4.211;     0.000; 0.2999750;    449685.10;
   21.789;     4.789;     0.000; 0.2999773;    444020.45;
   21.211;     4.211;     0.000; 0.2999753;    449667.97;
   21.211;     4.789;     0.000; 0.2999776;    444003.51;
   21.789;     5.211;     0.000; 0.2999788;    439870.47;
   21.789;     5.789;     0.000; 0.2999804;    434197.15;
   21.211;     5.211;     0.000; 0.2999790;    439853.76;
   21.211;     5.789;     0.000; 0.2999805;    434180.87;
   21.789;     6.211;     0.000; 0.2999815;    430042.87;
   21.789;     6.789;     0.000; 0.2999827;    424366.48;
   21.211;     6.211;     0.000; 0.2999815;    430026.92;
   21.211;     6.789;     0.000; 0.2999828;    424350.97;
